k,silhouette_kpp,db_kpp,silhouette_random,db_random
2,0.2175519259453858,1.9101292216805146,0.2175519259453858,1.9101292216805146
3,0.24980100169681377,1.623929931918567,0.24980100169681377,1.623929931918567
4,0.283817555909582,1.4551790788207877,0.2837733013706674,1.4551217454945329
5,0.3080691920776195,1.3001628531354157,0.30227619927463534,1.2631304722678744
6,0.2981324412001791,1.3317124508713818,0.3068580367329213,1.3122689143386617
7,0.3336132879190647,1.1937394578847897,0.3106580154473273,1.268847191286671
8,0.2922901942630152,1.1660217550811027,0.28482744335671567,1.2863580690911705
9,0.31735224832623044,1.098339838355407,0.31043322999600687,1.136389582205084
10,0.3279468711379922,1.1257015338781893,0.32126357457617855,1.131173044919007
