k,silhouette_kpp,db_kpp,silhouette_random,db_random
2,0.16853429461219951,2.6627849716044563,0.1682108136133044,2.6675364627131146
3,0.16867323464672737,2.082055271945787,0.1686582574091748,2.0823638506771096
4,0.15242116009465642,2.123440773652472,0.15244069360924095,2.127313570373402
5,0.18052405568746002,2.1406524581205697,0.18445668749060443,1.9350868857968266
6,0.2029020044137392,2.05843225199806,0.202992326577386,1.8391210753770633
7,0.2108938190923599,1.7855323408449253,0.21830314767795084,1.7090372624646017
8,0.22248602459014624,1.605604949944471,0.218160474310829,1.9422318736717807
9,0.24359156524558603,1.589886075522397,0.24546606444830005,1.5772700586718222
10,0.24716586511227637,1.5216623928789619,0.21867531821762098,1.712466829835415
